Suburb,No. of Rooms,Type of Property,Year Sold,Price,Postcode,Region Name,No. of properties in Suburb,Distance from CBD,Council for Suburb,Total population
Carlton,1,house,2018,0.099839228,3053,Northern Metropolitan,0.2588799276589149,1.6,Melbourne City Council,0.32814772167771666
Flemington,2,unit,2017,0.027070656811704185,3031,Northern Metropolitan,0.13465054053101594,3.4,Melbourne City Council,0.16701673516393498
Hawthorn,2,unit,2016,0.036223041466552225,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3460981779661434
Thomastown,4,house,2017,0.049839246,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30787758043987595
Beaumaris,4,house,2016,0.2329023466982096,3193,Southern Metropolitan,0.20552793260941107,17.3,Bayside City Council,0.21291190578192803
South Melbourne,2,house,2016,0.081266914,3205,Southern Metropolitan,0.2275513032174333,1.9,Port Phillip City Council,0.1880450560916391
Bayswater,3,unit,2018,0.047010633,3153,Eastern Metropolitan,0.19247616249792335,23.2,Knox City Council,0.19546698405714386
Craigieburn,4,house,2016,0.043571248,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.22278184647480845
Mulgrave,5,house,2018,0.087386176,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2999954497660142
Taylors Lakes,4,house,2017,0.048297358,3038,Western Metropolitan,0.2043694971398613,15.5,Brimbank City Council,0.26882913469525754
Brunswick,2,house,2016,0.087386176,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3743930845533775
Meadow Heights,8,house,2017,0.057343332,3048,Northern Metropolitan,0.17964790646175172,17.4,Hume City Council,0.2351128858578871
Northcote,4,house,2018,0.17796359663212785,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Glen Waverley,3,house,2016,0.1531862665979134,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5351718911120432
Oakleigh South,3,house,2018,0.066560767,3167,South-Eastern Metropolitan,0.1387434002866786,15.5,Kingston City Council,0.18807280072998955
Northcote,2,unit,2016,0.033703601,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.3652670445684691
Northcote,2,house,2018,0.08944506,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Altona North,4,house,2018,0.068662933,3025,Western Metropolitan,0.19645634490927477,9.4,Hobsons Bay City Council,0.2266599973141982
Hampton,2,house,2016,0.071179712,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.27278801860917856
Hoppers Crossing,3,house,2018,0.039687748,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5215998135664995
Kilsyth,4,house,2017,0.058107630807280757,3137,Eastern Metropolitan,0.1776657452577607,26,Maroondah City Council,0.14878827375766537
Brunswick,4,house,2017,0.10373976976009305,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
South Yarra,2,unit,2017,0.046581355920144424,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.41201783969247296
Port Melbourne,2,house,2017,0.10633170382092157,3207,Southern Metropolitan,0.3247849594487693,3.5,Melbourne City Council,0.2596250384555716
Broadmeadows,3,house,2016,0.032310843475260434,3047,Northern Metropolitan,0.16327700780566087,14,Hume City Council,0.21201840794946075
Balwyn,4,house,2018,0.18867410608933907,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.2512735011702242
Beaumaris,4,unit,2016,0.1817215867744574,3193,Southern Metropolitan,0.20552793260941107,17.3,Bayside City Council,0.21291190578192803
Craigieburn,3,house,2016,0.024440230042930774,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.22278184647480845
Sunbury,4,house,2018,0.061582063,3429,Western Metropolitan,0.49577309604723446,31.7,Hume City Council,0.2023693833797926
Hoppers Crossing,3,house,2017,0.037090344,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5199288530718802
Mentone,3,townhouse,2017,0.064454172,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.20884410356260247
Melton South,4,house,2018,0.034051487953044475,3338,Western Victoria,0.1802022082536692,29.8,Melton City Council,0.3914034038324676
Ferntree Gully,3,house,2017,0.061590522837489614,3156,Eastern Metropolitan,0.3955255207116783,24.8,Knox City Council,0.21601938649640035
Lalor,3,house,2017,0.048040145,3075,Northern Metropolitan,0.3120648168955057,16.3,Whittlesea City Council,0.3428118819352736
Caulfield South,4,house,2017,0.13801973050048388,3162,Southern Metropolitan,0.1932969078589082,8.7,Glen Eira City Council,0.27092546433095027
Brunswick East,3,house,2017,0.085323043,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.1908157165881778
Brunswick West,2,unit,2017,0.034051487953044475,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22083711641400056
Eltham,3,house,2016,0.05214763,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.33718712778617255
Doncaster East,2,unit,2018,0.04029284,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.4147530317813454
Brighton,2,unit,2017,0.047525521,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.3460389541534153
Abbotsford,2,unit,2017,0.037090344,3067,Northern Metropolitan,0.15214441636099457,3,Yarra City Council,0.14688197082926874
Sunshine West,4,house,2018,0.057258373856025446,3020,Western Metropolitan,0.2580380689316444,10.5,Brimbank City Council,0.29033642892884615
Ashburton,4,house,2018,0.1512546453676063,3147,Southern Metropolitan,0.11198371341811048,10.2,Boroondara City Council,0.12935377952901228
Camberwell,2,house,2016,0.14349063121138517,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3205094303238033
Craigieburn,4,house,2017,0.055983135,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.2478557647657131
Broadmeadows,4,townhouse,2018,0.044001818806212546,3047,Northern Metropolitan,0.16327700780566087,14,Hume City Council,0.21631611840130355
Aspendale Gardens,4,house,2016,0.073272201,3195,South-Eastern Metropolitan,0.077099714,21.5,Kingston City Council,0.1474166799674703
Strathmore,2,house,2017,0.11302338840339544,3041,Western Metropolitan,0.12176704185103372,8.2,Moonee Valley City Council,0.15777961594873074
Mulgrave,3,house,2016,0.045292419,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2953956828324747
Hadfield,3,house,2017,0.058107630807280757,3046,Northern Metropolitan,0.092902921,11.2,Moreland City Council,0.095480635
MacLeod,3,house,2016,0.07927422,3085,Northern Metropolitan,0.15819163542238174,12.7,Banyule City Council,0.057594555582697056
Sunshine West,3,unit,2017,0.041329288227200583,3020,Western Metropolitan,0.2580380689316444,10.5,Brimbank City Council,0.2875397505109392
Kew,2,unit,2018,0.048297358,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.37186834015385034
South Melbourne,2,house,2017,0.091499715,3205,Southern Metropolitan,0.2275513032174333,1.9,Port Phillip City Council,0.1935925175932538
Newport,5,house,2017,0.14504826392506892,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.27415084177412213
Newport,3,house,2017,0.080769113,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.27415084177412213
Brunswick West,2,unit,2018,0.049068599,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22621944808904768
Camberwell,3,house,2017,0.15511416385978397,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3245113759996223
Strathmore,2,unit,2018,0.066560767,3041,Western Metropolitan,0.12176704185103372,8.2,Moonee Valley City Council,0.16012187186831645
Cairnlea,5,house,2018,0.079938892,3023,Western Metropolitan,0.095835727,14.8,Brimbank City Council,0.16291397602131405
Glenroy,2,unit,2016,0.028820438535491884,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.33002714972840386
Ascot Vale,3,townhouse,2018,0.066139803,3032,Western Metropolitan,0.25083506840152275,4.3,Moonee Valley City Council,0.24069554795731923
Ringwood East,2,unit,2018,0.056833474763165796,3135,Eastern Metropolitan,0.16781580619056533,21.3,Maroondah City Council,0.3079760225928854
Altona Meadows,3,house,2017,0.047010633,3028,Western Metropolitan,0.2892923024942333,15.5,Hobsons Bay City Council,0.29276306810027014
Ivanhoe,3,townhouse,2017,0.069082836,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Mount Waverley,4,house,2016,0.075276879,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.46574825459024705
Glen Iris,2,unit,2017,0.037003647777060875,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25596361831573855
Hawthorn,2,house,2017,0.1790924772788233,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3500935968301084
Brighton,3,house,2017,0.11101252908917271,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.3460389541534153
Kensington,2,house,2017,0.070844507,3031,Northern Metropolitan,0.2015450190477037,3.4,Melbourne City Council,0.17852495798548607
Endeavour Hills,3,house,2017,0.047868634,3802,South-Eastern Metropolitan,0.3177381984256641,28.5,Casey City Council,0.36864262414469484
Bulleen,3,house,2017,0.061835817,3105,Eastern Metropolitan,0.17073703518324615,10.8,Manningham City Council,0.178202786
Altona North,3,house,2017,0.072017233,3025,Western Metropolitan,0.19645634490927477,9.4,Hobsons Bay City Council,0.22440180037255328
South Morang,3,house,2016,0.0312214,3752,Northern Metropolitan,0.30125201534888524,20.5,Whittlesea City Council,0.3505771643886106
Point Cook,4,house,2017,0.047182291681028214,3030,Western Metropolitan,0.5367821508464777,14.7,Wyndham City Council,0.663565106
Altona,4,house,2017,0.12500436238841356,3018,Western Metropolitan,0.2030162908014088,11,Hobsons Bay City Council,0.2029982454336554
Sydenham,3,house,2016,0.036743513372819316,3037,Western Metropolitan,0.1365957041034668,18,Brimbank City Council,0.19254348922850145
Balwyn,5,house,2018,0.21854459826050693,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.2512735011702242
Craigieburn,5,house,2016,0.031962350702958345,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.22278184647480845
Kilsyth,3,house,2017,0.050181566,3137,Eastern Metropolitan,0.1776657452577607,26,Maroondah City Council,0.14878827375766537
Hawthorn,3,house,2018,0.16660414089854494,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3556581534079557
Elwood,2,house,2016,0.099024697,3184,Southern Metropolitan,0.3363977514995816,7.2,Port Phillip City Council,0.2440459869766347
Northcote,2,house,2018,0.10097845882013476,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Altona,3,house,2018,0.14465908314568693,3018,Western Metropolitan,0.2030162908014088,11,Hobsons Bay City Council,0.2066542074895667
Albert Park,2,house,2017,0.2261081135177516,3206,Southern Metropolitan,0.12159917211755245,3,Port Phillip City Council,0.2470060415282547
Brunswick East,2,unit,2018,0.027114438690391603,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.20094614883960438
Brunswick,3,townhouse,2017,0.077527349,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
Sunshine,3,house,2016,0.074943045,3020,Western Metropolitan,0.14133925250352913,10.5,Brimbank City Council,0.15846572232212935
Altona,4,house,2017,0.10333417251259383,3018,Western Metropolitan,0.2030162908014088,11,Hobsons Bay City Council,0.2029982454336554
Bentleigh East,4,townhouse,2018,0.10778671984029022,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.40937521418442885
Balwyn North,3,townhouse,2016,0.098698699,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.30548738648483875
Hoppers Crossing,3,house,2018,0.049239906,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5215998135664995
Ringwood,4,house,2016,0.064875846,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.2623333546366169
Ivanhoe,3,house,2016,0.077527349,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18363777208475449
Yarraville,3,house,2017,0.068452915,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4351240356364336
Ascot Vale,3,townhouse,2018,0.071598561,3032,Western Metropolitan,0.25083506840152275,4.3,Moonee Valley City Council,0.24069554795731923
Reservoir,2,townhouse,2017,0.042019657602221254,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Mooroolbark,5,house,2017,0.068410906,3138,Eastern Victoria,0.3120995084012939,26.5,Yarra Ranges Shire Council,0.33141036731253304
Brunswick East,3,house,2016,0.093140404,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.1798126079226663
Ringwood,4,house,2017,0.073104963,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.26712582948794106
Doreen,5,house,2016,0.043140492,3754,Northern Victoria,0.27585777143697426,25.9,Nillumbik Shire Council,0.3124204197871729
Reservoir,2,townhouse,2017,0.050010420574661416,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Craigieburn,4,house,2016,0.039298567,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.22278184647480845
Brunswick,3,house,2017,0.070760689,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
Port Melbourne,2,unit,2018,0.1612585764321251,3207,Southern Metropolitan,0.3247849594487693,3.5,Melbourne City Council,0.2646360951422846
Hampton,3,house,2017,0.1662232610615275,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.2745071620079733
Meadow Heights,4,house,2016,0.029781515015042448,3048,Northern Metropolitan,0.17964790646175172,17.4,Hume City Council,0.23716216172660054
Wantirna South,4,house,2016,0.059464943536869846,3152,Eastern Metropolitan,0.26965150196710946,14.7,Knox City Council,0.2712318759974182
Hawthorn East,2,unit,2016,0.054365493424520794,3123,Southern Metropolitan,0.2476951164303111,6.2,Boroondara City Council,0.24115607731104635
Hillside,5,house,2018,0.057258373856025446,3037,Western Metropolitan,0.21283369048571887,18,Brimbank City Council,0.33957436199738833
Thomastown,3,house,2017,0.05146422,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30787758043987595
Nunawading,3,house,2016,0.073104963,3131,Eastern Metropolitan,0.19024502349624367,15.4,Manningham City Council,0.18952831426331104
Brunswick East,3,house,2017,0.10211639278020225,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.1908157165881778
Glen Waverley,3,townhouse,2017,0.050010420574661416,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Point Cook,3,house,2018,0.048640205,3030,Western Metropolitan,0.5367821508464777,14.7,Wyndham City Council,0.6931471805599453
Mentone,1,unit,2017,0.023561881282024855,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.20884410356260247
Brighton East,3,house,2018,0.13605856101526045,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.24888753421108195
Ivanhoe,3,house,2016,0.068662933,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18363777208475449
Frankston,3,house,2018,0.053619646,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3373424713047767
Balwyn North,3,house,2016,0.14582617139331347,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.30548738648483875
Thornbury,3,townhouse,2018,0.072603081,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.29058687033312774
Bentleigh East,3,townhouse,2017,0.059549714,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.4042477409328318
Templestowe,4,house,2018,0.15895884372059382,3106,Eastern Metropolitan,0.23728145493211517,15.5,Manningham City Council,0.25993493180309196
Yarraville,2,house,2017,0.06403232,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4351240356364336
Coburg North,4,house,2016,0.061666655,3058,Northern Metropolitan,0.12850051075824553,6.7,Darebin City Council,0.1271004482859523
Ivanhoe,4,house,2017,0.19919739869473524,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Craigieburn,4,house,2018,0.045722249,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.27054231767049464
Mount Waverley,5,house,2016,0.095596402,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.46574825459024705
Frankston South,3,house,2017,0.050865853,3199,South-Eastern Metropolitan,0.2870182821851244,38,Frankston City Council,0.27764492762412035
Eltham,3,unit,2016,0.052156169866652786,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.33718712778617255
Forest Hill,3,house,2016,0.069922114,3131,Eastern Metropolitan,0.16693375978585273,15.4,Whitehorse City Council,0.17046759918218898
St Kilda,2,townhouse,2017,0.08548825,3182,Southern Metropolitan,0.4708682662409193,5,Port Phillip City Council,0.5789354373767116
Sydenham,4,house,2018,0.050010420574661416,3037,Western Metropolitan,0.1365957041034668,18,Brimbank City Council,0.19368908330284537
Glen Iris,3,house,2017,0.14349063121138517,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25596361831573855
Burwood East,3,unit,2016,0.065213057,3151,Eastern Metropolitan,0.15332426149063855,14.7,Whitehorse City Council,0.16630811835423767
Murrumbeena,3,townhouse,2016,0.061074363,3163,Southern Metropolitan,0.16921746037170643,10.1,Glen Eira City Council,0.15151144180579454
MacLeod,3,unit,2017,0.048725898882304636,3085,Northern Metropolitan,0.15819163542238174,12.7,Banyule City Council,0.057989616
Yarraville,1,unit,2018,0.021802865876845483,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4396862057114335
Carnegie,2,unit,2017,0.047010633,3163,Southern Metropolitan,0.2960835,10.1,Glen Eira City Council,0.2833489301889839
Kings Park,5,house,2018,0.051720553526714244,3021,Western Metropolitan,0.10458288851928411,14,Brimbank City Council,0.21927860474558836
Doreen,3,house,2018,0.034659998,3754,Northern Victoria,0.27585777143697426,25.9,Nillumbik Shire Council,0.35166139251269046
Templestowe,4,house,2017,0.19661389476653673,3106,Eastern Metropolitan,0.23728145493211517,15.5,Manningham City Council,0.2600252992760271
St Kilda,1,unit,2018,0.018275525358877037,3182,Southern Metropolitan,0.4708682662409193,5,Port Phillip City Council,0.5908662708138593
Camberwell,3,house,2016,0.13173040159292007,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3205094303238033
Craigieburn,4,house,2018,0.042019657602221254,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.27054231767049464
Coburg North,3,house,2018,0.069166795,3058,Northern Metropolitan,0.12850051075824553,6.7,Darebin City Council,0.13548417931046844
Moonee Ponds,3,townhouse,2017,0.1126215398948734,3039,Western Metropolitan,0.23840240561557086,6.2,Moonee Valley City Council,0.2299379897492016
Frankston,4,house,2016,0.039255315828071555,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3311939899495693
Mulgrave,3,house,2017,0.06799072,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2971013074484024
Abbotsford,2,house,2017,0.10373976976009305,3067,Northern Metropolitan,0.15214441636099457,3,Yarra City Council,0.14688197082926874
South Yarra,2,unit,2017,0.050951355591262855,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.41201783969247296
Tullamarine,3,house,2018,0.056578449,3043,Western Metropolitan,0.12227048203619278,12.9,Brimbank City Council,0.10818267480935859
Frankston,3,house,2018,0.066205232,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3373424713047767
Murrumbeena,2,unit,2017,0.026194616,3163,Southern Metropolitan,0.16921746037170643,10.1,Glen Eira City Council,0.1535669114423127
Reservoir,3,house,2016,0.036656787,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Ashburton,3,house,2017,0.14582617139331347,3147,Southern Metropolitan,0.11198371341811048,10.2,Boroondara City Council,0.12835292577615912
Williamstown,4,house,2017,0.1301518692998703,3016,Western Metropolitan,0.243914113,6.8,Hobsons Bay City Council,0.24569736349870494
Mentone,3,house,2018,0.077777089,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.2106224127374902
Clayton South,4,house,2016,0.062850187,3169,South-Eastern Metropolitan,0.18083532001903968,17.5,Kingston City Council,0.2029982454336554
Frankston,4,house,2016,0.13173040159292007,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3311939899495693
Delahey,5,house,2016,0.039255315828071555,3037,Western Metropolitan,0.1054363493545657,18,Brimbank City Council,0.13653634950836963
Thornbury,4,house,2017,0.12222161362389272,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.28732622961334014
Richmond,2,house,2016,0.016507178,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.43822900662149655
Coburg,4,house,2017,0.10778671984029022,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.38717218981060725
Melbourne,2,unit,2016,0.055557693,3000,Northern Metropolitan,0.5895125632710322,0,Melbourne City Council,0.5273077160552411
Hawthorn East,3,house,2017,0.10049037616178355,3123,Southern Metropolitan,0.2476951164303111,6.2,Boroondara City Council,0.24551401182969113
Doreen,4,house,2018,0.054791442,3754,Northern Victoria,0.27585777143697426,25.9,Nillumbik Shire Council,0.35166139251269046
Balwyn North,2,townhouse,2018,0.090267429,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.3098200209026048
Thomastown,3,house,2018,0.072686745,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30859106658791785
Braybrook,3,house,2018,0.053001237,3019,Western Metropolitan,0.13448481985283917,8.6,Maribyrnong City Council,0.29047417946284715
Glenroy,3,townhouse,2018,0.041113450018683294,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.34382146114530393
Templestowe,3,house,2017,0.093550156,3106,Eastern Metropolitan,0.23728145493211517,15.5,Manningham City Council,0.2600252992760271
Burwood,5,house,2018,0.10495557538098287,3125,Southern Metropolitan,0.2174967727418569,10.4,Monash City Council,0.21303368456415542
Reservoir,3,house,2016,0.055132071,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Kew,3,house,2016,0.096495426,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.3650346269594648
Northcote,2,townhouse,2017,0.062343130574135555,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37283748899404173
Templestowe,4,house,2018,0.11422796594314712,3106,Eastern Metropolitan,0.23728145493211517,15.5,Manningham City Council,0.25993493180309196
Williamstown,3,house,2018,0.092320396,3016,Western Metropolitan,0.243914113,6.8,Hobsons Bay City Council,0.2495400031767075
Richmond,3,house,2016,0.15895884372059382,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.43822900662149655
Keysborough,3,townhouse,2016,0.045292419,3173,South-Eastern Metropolitan,0.31828997965841055,25.2,Greater Dandenong City Council,0.37731336531989496
Heidelberg West,3,house,2016,0.053086557,3081,Eastern Metropolitan,0.095835727,8.8,Banyule City Council,0.22191053858662801
Reservoir,3,unit,2016,0.027945930390559322,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Williamstown,3,house,2017,0.11935125604799941,3016,Western Metropolitan,0.243914113,6.8,Hobsons Bay City Council,0.24569736349870494
Yarraville,2,unit,2017,0.036448612552765935,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4351240356364336
Ivanhoe,3,townhouse,2016,0.069922114,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18363777208475449
Toorak,1,unit,2018,0.041847109935500504,3142,Southern Metropolitan,0.2745259497042004,4.1,Stonnington City Council,0.21304721462456744
Mitcham,3,house,2016,0.056238313,3132,Eastern Metropolitan,0.26198500969855726,17.2,Whitehorse City Council,0.2487308782924314
Mentone,4,house,2016,0.078692269,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.20662697363243382
Brunswick,2,house,2016,0.059803984,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3743930845533775
Blackburn South,3,house,2018,0.068242853,3130,Eastern Metropolitan,0.1670139779793819,13.4,Whitehorse City Council,0.17463797027426697
Sunbury,4,house,2018,0.043571248,3429,Western Metropolitan,0.49577309604723446,31.7,Hume City Council,0.2023693833797926
Pascoe Vale,2,townhouse,2017,0.039255315828071555,3044,Northern Metropolitan,0.2841327913420671,8.5,Moreland City Council,0.4759109224312301
Brunswick,3,townhouse,2016,0.048725898882304636,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3743930845533775
Reservoir,2,house,2016,0.039687748,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Sunshine North,3,house,2017,0.048040145,3020,Western Metropolitan,0.16017235438351207,10.5,Brimbank City Council,0.18768430572697628
Albert Park,3,house,2016,0.12238083661602916,3206,Southern Metropolitan,0.12159917211755245,3,Port Phillip City Council,0.24445253102997014
Vermont,3,house,2016,0.06799072,3133,Eastern Metropolitan,0.15871751476542062,17.2,Maroondah City Council,0.1680787197587712
Maribyrnong,3,house,2017,0.045292419,3032,Western Metropolitan,0.18808744072017478,4.3,Maribyrnong City Council,0.2030529104057216
South Melbourne,2,house,2018,0.083255645,3205,Southern Metropolitan,0.2275513032174333,1.9,Port Phillip City Council,0.1991505332218935
Strathmore,2,house,2018,0.1322034757955455,3041,Western Metropolitan,0.12176704185103372,8.2,Moonee Valley City Council,0.16012187186831645
Balwyn North,5,house,2016,0.14629262557264866,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.30548738648483875
Hughesdale,2,unit,2018,0.039341817,3166,Southern Metropolitan,0.11591697992393667,12.3,Monash City Council,0.12986853462726183
Hampton,3,townhouse,2018,0.14660347419187544,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.27744196950890454
Doncaster East,5,house,2017,0.099676375,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.41107484634003477
Point Cook,3,house,2018,0.038563034734310594,3030,Western Metropolitan,0.5367821508464777,14.7,Wyndham City Council,0.6931471805599453
Templestowe Lower,4,house,2018,0.09641373,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21665320690371004
Sunbury,3,house,2017,0.050609299832839585,3429,Western Metropolitan,0.49577309604723446,31.7,Hume City Council,0.20115154810225858
Sunshine North,3,unit,2017,0.041847109935500504,3020,Western Metropolitan,0.16017235438351207,10.5,Brimbank City Council,0.18768430572697628
Glen Waverley,4,house,2017,0.093632087,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Coburg North,4,house,2016,0.074943045,3058,Northern Metropolitan,0.12850051075824553,6.7,Darebin City Council,0.1271004482859523
Camberwell,5,house,2018,0.2407121130522668,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.325878066
Reservoir,3,house,2018,0.073690174,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Kensington,4,house,2017,0.087633466,3031,Northern Metropolitan,0.2015450190477037,3.4,Melbourne City Council,0.17852495798548607
Frankston,5,house,2016,0.19142677680042175,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3311939899495693
Balwyn,3,house,2017,0.18396962069233977,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.24929211511646676
